Screenshot ID,Actual Category,Notes,filename
ss_001,Connectivity,Airtel wifi password,ss_001.jpg
ss_002,Payment,Email receipt confirming a ?689 UPI payment to Braingrow Eduserv Private Limited.,ss_002.jpg
ss_003,Education,"KIIT course curriculum/document page covering Deep Learning topics, units, outcomes, and reference books.",ss_003.jpg
ss_004,Entertainment,"Movie ticket for Spider-Man: Brand New Day, including show date/time and QR code.",ss_004.jpg
ss_005,Payment,"Payment-success screen showing a ?1,800 transaction with payer/payee details.",ss_005.jpg
ss_006,Education,Handwritten notes ,ss_006.jpg
ss_007,Education,"College email/document about 7th-semester practical training evaluation, marks distribution, and evaluation date.",ss_007.jpg
ss_008,Shopping,Promotional advertisement for an MD Combo product bundle with prices and contact details.,ss_008.jpg
ss_009,Work,Mobile page related to Unicommerce/organizational information and business account details.,ss_009.jpg
ss_010,Shopping,"Amazon order page showing an order, product delivery information, and review/order details.",ss_010.jpg
ss_011,Travel,"Flight boarding pass for an IndiGo flight with passenger, flight, seat, and QR-code details.",ss_011.jpg
ss_012,Education,College/academic notice document containing formal instructions and highlighted information.,ss_012.jpg
ss_013,Payment,KitConnect payment-success screen confirming a completed transaction.,ss_013.jpg
ss_014,Travel,"Flight boarding pass with passenger, flight, seat, and QR-code information.",ss_014.jpg
ss_015,Shopping,Amazon/online-shopping cashback promotional popup offering cashback on UPI spends.,ss_015.jpg
ss_016,Travel,Train ticket/booking confirmation showing passenger and journey details.,ss_016.jpg
ss_017,Payment,Indian Bank payment gateway/transaction confirmation containing payment and order details.,ss_017.jpg
ss_018,Education,College communication about registering for an open elective and course-selection instructions.,ss_018.jpg
ss_019,Travel,"Flight boarding pass containing passenger, flight, seat, and QR-code information.",ss_019.jpg
ss_020,Shopping,"Zapvi order-complete page showing order summary, billing/shipping information, and purchase status.",ss_020.jpg
ss_021,Communication,Gmail inbox view showing multiple email conversations and messages.,ss_021.jpg
ss_022,Shopping,Online shopping product page for a pair of shoes with product image and purchase options.,ss_022.jpg
ss_023,Education,College/KIT Connect academic communication/document containing course or examination-related information.,ss_023.jpg
ss_024,Education,College message regarding lab viva/examination instructions and academic updates.,ss_024.jpg
ss_025,Entertainment,Google Play/movie-style page for Power Rangers showing entertainment content and related options.,ss_025.jpg
ss_026,Payment,Payment receipt for KIIT,ss_026.jpg
ss_027,Education,Educational slide explaining basic algebraic formulas with mathematical examples.,ss_027.jpg
ss_028,Coding,VS Code/editor screenshot showing source code for a software project.,ss_028.jpg
ss_029,Coding,"Terminal/API testing screenshot showing HTTP requests, JSON data, and project output.",ss_029.jpg
ss_030,Career,"Hackathon announcement/post describing a global AI hackathon, participation information, and opportunities.",ss_030.jpg
